question_id	question_rank	document_title	paragraph_index
1	1	Tibet	10
1	2	History_of_India	47
1	3	Rajasthan	9
1	4	Slavs	34
1	5	Macintosh	21
4	1	BeiDou_Navigation_Satellite_System	18
4	2	BeiDou_Navigation_Satellite_System	12
4	3	BeiDou_Navigation_Satellite_System	33
4	4	BeiDou_Navigation_Satellite_System	3
4	5	BeiDou_Navigation_Satellite_System	5
7	1	Beyoncé	43
7	2	Beyoncé	7
7	3	Beyoncé	47
7	4	Beyoncé	16
7	5	Beyoncé	38
10	1	Roman_Republic	46
10	2	Roman_Republic	47
10	3	Roman_Republic	50
10	4	Roman_Republic	28
10	5	Roman_Republic	26
13	1	Chihuahua_(state)	37
13	2	Slavs	34
13	3	Punjab,_Pakistan	21
13	4	Chihuahua_(state)	39
13	5	Institute_of_technology	9
16	1	Atlantic_City,_New_Jersey	24
16	2	Oklahoma_City	11
16	3	Richmond,_Virginia	14
16	4	Oklahoma	2
16	5	Charleston,_South_Carolina	2
19	1	Xbox_360	25
19	2	Xbox_360	19
19	3	Xbox_360	10
19	4	Slavs	34
19	5	Symbiosis	9
22	1	Neptune	26
22	2	Neptune	31
22	3	Neptune	28
22	4	Neptune	4
22	5	Neptune	15
25	1	Asphalt	30
25	2	Slavs	34
25	3	Symbiosis	9
25	4	Punjab,_Pakistan	21
25	5	Nutrition	10
28	1	New_Delhi	50
28	2	New_Delhi	46
28	3	New_Delhi	49
28	4	New_Delhi	48
28	5	New_Delhi	10
31	1	Slavs	34
31	2	Punjab,_Pakistan	21
31	3	Symbiosis	8
31	4	Symbiosis	9
31	5	Institute_of_technology	9
34	1	New_York_City	140
34	2	New_York_City	33
34	3	New_York_City	96
34	4	New_York_City	97
34	5	The_Bronx	7
37	1	Federal_Bureau_of_Investigation	26
37	2	Federal_Bureau_of_Investigation	23
37	3	Federal_Bureau_of_Investigation	43
37	4	Federal_Bureau_of_Investigation	42
37	5	Federal_Bureau_of_Investigation	31
40	1	Chihuahua_(state)	5
40	2	Chihuahua_(state)	6
40	3	Paris	90
40	4	Slavs	34
40	5	Chihuahua_(state)	30
43	1	Middle_Ages	4
43	2	Late_Middle_Ages	3
43	3	University	24
43	4	Late_Middle_Ages	4
43	5	Middle_Ages	92
46	1	Richard_Feynman	28
46	2	Richard_Feynman	30
